nodenumber,    x-coordinate,    y-coordinate,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      x-velocity,      y-velocity,        pressure
        62, 9.294958961E-02, 0.000000000E+00, 9.294958961E-02, 0.000000000E+00, 2.901866442E-07, 1.372570812E-10, 0.000000000E+00, 0.000000000E+00, 9.979699457E-02
        63, 9.358625775E-02, 0.000000000E+00, 9.358625775E-02, 0.000000000E+00, 3.086108610E-07, 1.459632831E-10, 0.000000000E+00, 0.000000000E+00, 1.025258959E-01
        64, 9.422292590E-02, 0.000000000E+00, 9.422292590E-02, 0.000000000E+00, 3.193622981E-07, 1.510437455E-10, 0.000000000E+00, 0.000000000E+00, 1.053122979E-01
        65, 9.485959404E-02, 0.000000000E+00, 9.485959404E-02, 0.000000000E+00, 3.302343506E-07, 1.561814825E-10, 0.000000000E+00, 0.000000000E+00, 1.081091429E-01
        66, 9.549626219E-02, 0.000000000E+00, 9.549626219E-02, 0.000000000E+00, 3.336283269E-07, 1.577857141E-10, 0.000000000E+00, 0.000000000E+00, 1.109613737E-01
        67, 9.613293033E-02, 0.000000000E+00, 9.613293033E-02, 0.000000000E+00, 3.384773080E-07, 1.600808215E-10, 0.000000000E+00, 0.000000000E+00, 1.137472834E-01
        68, 9.676959848E-02, 0.000000000E+00, 9.676959848E-02, 0.000000000E+00, 3.423782763E-07, 1.619185101E-10, 0.000000000E+00, 0.000000000E+00, 1.164338890E-01
        69, 9.740626663E-02, 0.000000000E+00, 9.740626663E-02, 0.000000000E+00, 3.380599308E-07, 1.598649435E-10, 0.000000000E+00, 0.000000000E+00, 1.192555408E-01
        70, 9.804293477E-02, 0.000000000E+00, 9.804293477E-02, 0.000000000E+00, 3.493648665E-07, 1.652019605E-10, 0.000000000E+00, 0.000000000E+00, 1.222112268E-01
        71, 9.867960292E-02, 0.000000000E+00, 9.867960292E-02, 0.000000000E+00, 3.585823487E-07, 1.695539702E-10, 0.000000000E+00, 0.000000000E+00, 1.252352426E-01
